"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","url_good","mode"
"1002",1002,"T-DF0027-0477"," IROLO, BENITO JUAREZ","Departamento en Venta",2420000,"MXN",79,79,2,1,19.37675,-99.1368,"DEL CARMEN","BENITO JUAREZ","CDMX","Departamento en venta, dos recamaras  con closet, sala comedor, cocina integral, baño completo y un  medio baño, área de lavado integrada , lugar de estacionamiento. 



Servicios cercanos: Pizzas, bancos, metro, panadería, mercado, restaurantes.



Avenidas Principales: Eje 5, Eje 6, Tlalpan, Plutarco Elías Calles.","https://tecnocasa.mx/detalle-inmueble.php?v=40992","Venta"
"1003",1003,"T-DF0144-0007"," EJE CENTRAL LAZARO CARDENAS, CUAUHTEMOC","Departamento en Venta",2400000,"MXN",64,64,2,1,19.41996,-99.14327,"OBRERA","CUAUHTEMOC","CDMX","Departamento en venta, dos recamaras con closet, sala-comedor, cocina integral, área de lavado, baño completo, balcon y un lugar de estacionamiento. Se cuenta con roof garden, elevador, vigilancia y área de juegos.



Info y citas 55 55119464 

WA 5617322924","https://tecnocasa.mx/detalle-inmueble.php?v=38912","Venta"
"1004",1004,"T-DF0097-0437"," ERMITA IZTAPALAPA, BENITO JUAREZ","Departamento en Venta",2400000,"MXN",63,63,2,2,19.35966,-99.14185,"ERMITA","BENITO JUAREZ","CDMX","Departamento en Planta Baja de 2 Recamaras con Closet, Sala Comedor, Cocina Integral, 2 1/2 Baños, Area de Lavado, 1 Estacionamiento Fijo, Elevador, Gimnasio, Ludoteca y Roof Garden Compartido","https://tecnocasa.mx/detalle-inmueble.php?v=38677","Venta"
"1005",1005,"T-DF0001-0432"," CUAUHTEMOC, BENITO JUAREZ","Departamento en Venta",2400000,"MXN",84,84,2,1,19.39104,-99.15656,"NARVARTE PONIENTE","BENITO JUAREZ","CDMX","2 Recámaras con closet, estancia para sala, comedor, cocina integral, baño completo, cuarto de servicio externo al departamento, vigilancia circuito cerrado, excelente ubicación (frente al metrobús Luz Saviñón y 2 cuadras del metro Etiopia).","https://tecnocasa.mx/detalle-inmueble.php?v=40223","Venta"
"1006",1006,"T-DF0084-0397"," TOLTECAS, ALVARO OBREGON","Departamento en Venta",2400000,"MXN",65,65,3,2,19.3865311794818,-99.1927388576718,"CAROLA","ALVARO OBREGON","CDMX","Departamento en venta con 65m2 de construcción, 3 recámaras con closet, 2 baños completos, sala-comedor, cocina integral, área de lavado integrada, vigilancia las 24 horas con CCTV y estacionamiento fijo.



A M E N I D A D E S

Canchas deportivas, área de juegos para niños, pista de jogging, plaza comercial y estacionamiento para visitas.","https://tecnocasa.mx/detalle-inmueble.php?v=41299","Venta"
"1007",1007,"T-DF0031-0184"," ORIENTAL, COYOACAN","Departamento en Venta",2400000,"MXN",85,85,3,1,19.31014,-99.11041,"CAFETALES","COYOACAN","CDMX","Departamento remodelado en 3er de 85M2 aprox. Consta de 

sala-comedor, cocina integral, baño completo, 3 

recamaras con closet, área de lavado ampliada área  tendido y 

lugar de estacionamiento con portón eléctrico, El departamento tiene persianas a la medida, pago de $300.00 por 

mantenimiento áreas verdes, acceso controlado. 

Ubicado sobre calle Oriental, Col. Alianza 

Popular Revolucionaria. Cerca de ISSTE 

oriental, línea 5 del Metrobús estación Bombas, 

comercios, áreas verdes","https://tecnocasa.mx/detalle-inmueble.php?v=42110","Venta"
"1008",1008,"T-DF0033-0105"," AV. UNIVERSIDAD, ALVARO OBREGON","Departamento en Venta",2400000,"MXN",65,65,2,1,19.35116,-99.17857,"EX-HACIENDA DE GUADALUPE CHIMALISTAC","ALVARO OBREGON","CDMX","EXCELENTE DEPARTAMENTO SOBRE AVENIDA, CONSTA DE 2 RECAMARAS, 1 BAÑO, SALA. COMEDOR, COCINA, UN LUGAR DE ESTACIONAMIENTO, EN EXCELENTE. ZONA DE COYOACAN","https://tecnocasa.mx/detalle-inmueble.php?v=41088","Venta"
"1009",1009,"T-DF0108-0267"," CALZ. TLALPAN, BENITO JUAREZ","Departamento en Venta",2400000,"MXN",60,60,2,1,19.39765,-99.13713,"MODERNA","BENITO JUAREZ","CDMX","Departamento remodelado de 60 m2 ubicado en el 2 piso con 2 recamaras, sala-comedor, 1 baño completo, área de lavado y tendido, 1 cajón de estacionamiento. También cuenta con elevador, salón de usos múltiples, área de juegos infantiles y seguridad las 24 horas. A 2 calles de metro Xola y Viaducto. ","https://tecnocasa.mx/detalle-inmueble.php?v=38809","Venta"
"1010",1010,"T-DF0007-0295"," SUR 127, IZTAPALAPA","CASA DUPLEX",2400000,"MXN",153,153,3,1,19.35252,-99.1089,"LOS CIPRESES","IZTAPALAPA","CDMX","CASA DUPLEX EN PRIMER NIVEL , CONSTA DE 3 RECAMARAS, COMEDOR, SALA, COCINA, 1 1/2 BAÑO, ELEVADOR, 1 LUGAR DE ESTACIONAMIENTO, PATIO TRASERO, CISTERNA DE 3000L.","https://tecnocasa.mx/detalle-inmueble.php?v=41132","Venta"
"1011",1011,"T-DF0108-0187"," SUR 133, IZTACALCO","EDIFICIO",2400000,"MXN",123,123,NA,NA,19.3957301082245,-99.1008538776643,"SAN PEDRO","IZTACALCO","CDMX","Edificio A remodelar de 120m² de terreno que cuenta con 6 departamentos de 50m² aprox. ideales para rentar, a 3 cuadras de Av. Río Churubusco y metrobus Goma.","https://tecnocasa.mx/detalle-inmueble.php?v=26798","Venta"
"1012",1012,"T-DF0041-0053"," PALMA DATILERA, LA MAGDALENA CONTRERAS","Departamento en Venta",2400000,"MXN",90,90,2,2,19.3107448454555,-99.2498419169747,"EL TORO","LA MAGDALENA CONTRERAS","CDMX","DEPARTAMENTO EN PRE VENTA  EN MAGDALENA CONTRERAS



A 10 MINUTOS DE SUPERVÍA PONIENTE Y A 15 MINUTOS DE PERIFÉRICO SUR.



CUENTA CON 2 HABITACIONES, 2 BAÑOS COMPLETOS, SALA-ESTANCIA, COMEDOR Y DOS CAJONES DE ESTACIONAMIENTO.

CERCANO A COMERCIO, SERVICIOS, ESCUELAS Y HOSPITALES.



¡AGENDA TU CITA!","https://tecnocasa.mx/detalle-inmueble.php?v=33968","Venta"
"1013",1013,"T-DF0118-0286"," PASEO DE LAS GALIAS, IZTAPALAPA","Departamento en Venta",2400000,"MXN",74,74,3,1,19.3205,-99.09733,"LOMAS ESTRELLA","IZTAPALAPA","CDMX","DEPARTAMENTO DE 74 METROS CUADRADOS UBICADO EN TERCER PISO, 3 RECAMARAS CON CLOSET, SALA, COMEDOR, COCINA INTEGRAL, ZOTEHUELA, UN CAJON DE ESTACIONAMIENTO, REMODELADO.","https://tecnocasa.mx/detalle-inmueble.php?v=40437","Venta"
"1014",1014,"T-DF0045-0569"," GALVESTON, BENITO JUAREZ","Departamento en Venta",2399000,"MXN",70,70,2,1,19.39804,-99.17433,"NAPOLES","BENITO JUAREZ","CDMX","Excelente oportunidad en planta baja. Cuenta con su propio cuarto de servicio y su propio patio de servicio, Con todas las comodidades a tu alcance: 2 recamaras, 1 baño, cocina equipada, aula de tendido","https://tecnocasa.mx/detalle-inmueble.php?v=39318","Venta"
