"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"6719","RE01C4V001OJ","El rosal","Casa en Venta",3500000,"$",227,500,3,2,19.27005193,-99.16665715,"San Pedro Mártir","Tlalpan","Distrito Federal","RE01C4V001OJ",NA,"Venta"
"6720","QU00I4V001S3","Ignacio Zaragoza","Casa en Venta",3900000,"$",245,252,4,4,19.2722332,-99.1664794,"Chimalcoyotl","Tlalpan","Distrito Federal","QU00I4V001S3",NA,"Venta"
"6721","MA0024V00BNV","CERRADA DE CLAVEL","Casa en Venta",2850000,"$",170,250,2,3,19.27038997,-99.16437923,"Chimalcoyotl","Tlalpan","Distrito Federal","MA0024V00BNV",NA,"Venta"
"6722","QU0N914V001KB","ROSAL","Casa en Venta",3200000,"$",250,127,1,3,19.26962657,-99.16718287,"San Pedro Mártir","Tlalpan","Distrito Federal","QU0N914V001KB",NA,"Venta"
"6723","RE0JE14V002YS","DILIGENCIAS","Casa en Venta",5100000,"$",360,360,3,4,19.2713236,-99.1675819,"Ejidos De San Pedro Mártir","Tlalpan","Distrito Federal","RE0JE14V002YS",NA,"Venta"
"6724","VI0R414V001T1","GAMA","Casa en Venta",4300000,"$",295,134,3,3.5,19.2722332,-99.1664794,"Chimalcoyotl","Tlalpan","Distrito Federal","VI0R414V001T1",NA,"Venta"
"6725","QU0YW14V000NO","Diligencias (San Pedro Martir)","Casa en Venta",4500000,"$",290,170,3,3.5,19.27209973,-99.16757494,"San Pedro Mártir","Tlalpan","Distrito Federal","QU0YW14V000NO",NA,"Venta"
"6726","AD00814V000AV","GAMA","Casa en Venta",4600000,"$",296,162,3,3.5,19.27119338,-99.16791416,"San Pedro Mártir","Tlalpan","Distrito Federal","AD00814V000AV",NA,"Venta"
"6727","EM00Q14V0000J","RINCONADA DEL CONDE","Casa en Venta",3100000,"$",188,148,3,2.5,19.2723446,-99.16773467,"Chimalcoyotl","Tlalpan","Distrito Federal","EM00Q14V0000J",NA,"Venta"
"6728","DE0K18V000N1","Diligencias","Departamento en Venta",1200000,"$",88,NA,2,1,19.270932,-99.16823631,"San Pedro Mártir","Tlalpan","Distrito Federal","DE0K18V000N1",NA,"Venta"
"6729","DE0HQ8V0000L","Diligencias","Departamento en Venta",1250000,"$",88,NA,2,1,19.2714399,-99.1676213,"San Pedro Mártir","Tlalpan","Distrito Federal","DE0HQ8V0000L",NA,"Venta"
"6730","MA0028V00BHE","Camino Viejo a San Pedro Martir","Departamento en Venta",1200000,"$",83,NA,3,2,19.2722332,-99.1664794,"Chimalcoyotl","Tlalpan","Distrito Federal","MA0028V00BHE",NA,"Venta"
"6731","CE0198V002FQ","Del Rosal","Departamento en Venta",3190000,"$",215,NA,3,2.5,19.27210063,-99.16567825,"Chimalcoyotl","Tlalpan","Distrito Federal","CE0198V002FQ",NA,"Venta"
"6732","MA0NI8V001QR","EMILIANO ZAPATA","Departamento en Venta",1150000,"$",67,NA,2,1,19.26943582,-99.16216191,"San Pedro Mártir","Tlalpan","Distrito Federal","MA0NI8V001QR",NA,"Venta"
"6733","VC0044V0000Y","Cerrada De Nardos","Casa en Venta",2250000,"$",331,352,5,2.5,19.26701805,-99.17532725,"San Pedro Mártir","Tlalpan","Distrito Federal","VC0044V0000Y",NA,"Venta"
"6734","RE0AW4V001T3","Campanario","Casa en Venta",4700000,"$",370,250,3,1,19.2635328,-99.1805284,"San Pedro Mártir","Tlalpan","Distrito Federal","RE0AW4V001T3",NA,"Venta"
"6735","DI0NP4V001AY","Prolongación 5 de Mayo","Casa en Venta",7500000,"$",510,901,3,3.5,19.26514928,-99.175504,"San Pedro Mártir","Tlalpan","Distrito Federal","DI0NP4V001AY",NA,"Venta"
"6736","GR0U34V000YS","Campanario","Casa en Venta",6300000,"$",427,298,4,3,19.26363491,-99.18052334,"Paraje Tetenco","Tlalpan","Distrito Federal","GR0U34V000YS",NA,"Venta"
"6737","PL00H4V001JV","Orquidea","Casa en Venta",4300000,"$",235,509,2,3,19.26425198,-99.17814469,"San Pedro Mártir","Tlalpan","Distrito Federal","PL00H4V001JV",NA,"Venta"
"6738","RE0FU14V000YC","Campanario","Casa en Venta",4700000,"$",370,250,3,2.5,19.2634526,-99.1812529,"Paraje Tetenco","Tlalpan","Distrito Federal","RE0FU14V000YC",NA,"Venta"
"6739","VI0R414V001RK","VOLCAN SAN ANTONIO","Casa en Venta",4300000,"$",260,190,3,3.5,19.2634526,-99.1812529,"Tlalpuente","Tlalpan","Distrito Federal","VI0R414V001RK",NA,"Venta"
"6740","AG00R14V001A7","1RA CERRADA DE FLOR SILVESTRE","Casa en Venta",5450000,"$",230,315,3,3.5,19.2638376,-99.1791763,"San Pedro Mártir Fovissste","Tlalpan","Distrito Federal","AG00R14V001A7",NA,"Venta"
"6741","SK0064V000JE","Diligencias","Casa en Venta",790000,"$",200,200,3,2,19.2665497,-99.1705481,"San Pedro Mártir","Tlalpan","Distrito Federal","SK0064V000JE",NA,"Venta"
"6742","SK0064V000O4","Diligencias","Casa en Venta",790000,"$",200,200,4,2,19.2665497,-99.1705481,"San Pedro Mártir","Tlalpan","Distrito Federal","SK0064V000O4",NA,"Venta"
"6743","CE02N4V003WZ","Carretera Mex - Cuernavaca","Casa en Venta",6795000,"$",710,1046,3,5,19.2790911,-99.2114234,"San Pedro Mártir","Tlalpan","Distrito Federal","CE02N4V003WZ",NA,"Venta"
"6744","DE0HQ4V0000M","5 de mayo","Casa en Venta",4500000,"$",420,720,4,4.5,19.2573142,-99.1715785,"Tlalpan Centro","Tlalpan","Distrito Federal","DE0HQ4V0000M",NA,"Venta"
"6745","RE0JL4V001P8","Laurel","Casa en Venta",4500000,"$",350,744,3,2.5,19.2673847,-99.169027,"San Pedro Mártir","Tlalpan","Distrito Federal","RE0JL4V001P8",NA,"Venta"
